Dto.,   Barrios  ,2013,2014,2015,2016,2017
1,1. el Raval,2.614,2.404,2.775,3.251,4.029
1,2. el Barri Gòtic,3.811,3.791,4.236,4.813,4.884
1,3. la Barceloneta,4.212,4.168,4.043,4.683,5.165
1,4. Sant Pere,3.534,3.682,3.827,4.501,5.152
2,5. el Fort Pienc,3.038,3.022,3.228,4.012,4.107
2,6. la Sagrada Família,3.029,2.959,3.157,3.746,4.209
2,7. la Dreta de l'Eixample,4.296,4.528,4.961,5.949,6.332
2,8. l'Antiga Esquerra de l'Eixample,3.521,3.551,3.999,4.747,5.091
2,9. la Nova Esquerra de l'Eixample,3.158,3.292,3.34,4.085,4.465
2,10. Sant Antoni,2.926,3,3.369,3.817,4.591
3,11. el Poble Sec-AEI Parc Montjuïc,2.495,2.518,2.815,2.771,3.936
3,12. la Marina del Prat Vermell-AEI Zona Franca,n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
3,13. la Marina de Port,2.152,2.08,2.174,2.348,2.723
3,14. la Font de la Guatlla,n.d.  ,2.58,2.582,n.d.  ,3.51
3,15. Hostafrancs,n.d.  ,2.719,2.742,2.97,3.912
3,16. la Bordeta,n.d.  ,2.323,2.361,2.829,3.171
3,17. Sants-Badal,2.575,2.392,2.607,3.127,3.469
3,18. Sants,2.633,2511,2.816,3.181,3.666
4,19. les Corts,3.597,3.712,3.825,4.469,4.821
4,20. la Maternitat i Sant Ramon,3.362,3.296,3.281,3.875,4.339
4,21. Pedralbes,4.914,5.185,5.436,5.689,6.34
5,22. Vallvidrera,n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
5,23. Sarrià,4.384,4.472,4.704,5.824,6.042
5,24. les Tres Torres,4.509,4.742,5.145,4.956,5.689
5,25. Sant Gervasi-la Bonanova,3.866,3.883,4.235,4.926,5.029
5,26. Sant Gervasi-Galvany,3.899,4.188,4.484,4.797,5.306
5,27. el Putxet i el Farró,3.298,3.256,3.465,3.956,4.289
6,28. Vallcarca i els Penitents,3.109,2.969,2.862,3.363,3.541
6,29. el Coll,n.d.  ,2.317,2.252,2.624,n.d.  
6,30. la Salut,2.89,2.682,2.825,3.204,3.561
6,31. la Vila de Gràcia,3.264,3.308,3.655,4.17,4.426
6,32. el Camp d'en Grassot i Gràcia Nova,3.145,3.068,3.219,3.759,4.391
7,33. el Baix Guinardó,2.608,2.521,2.841,3.087,3.493
7,34. Can Baró,n.d.  ,2.368,2.598,2.755,2.859
7,35. el Guinardó,2.474,2.476,2.506,2.587,3.164
7,36. la Font d'en Fargues,n.d.  ,2.46,n.d.  ,2.652,3.206
7,37. el Carmel,1.73,1.732,1.693,2.077,2.242
7,38. la Teixonera,2.013,1.869,1.87,2.012,2.5
7,39. Sant Genís dels Agudells (1),2.051,2.044,2.14,2.125,n.d.  
7,40. Montbau (1), , , , , 
7,41. la Vall d'Hebron (2),n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
7,42. la Clota (2), , , , , 
7,43. Horta,2.354,2.255,2.192,2.453,2.97
8,44. Vilapicina i la Torre Llobeta,n.d.  ,1.971,2.193,2.48,2.774
8,45. Porta,n.d.  ,2.01,2.174,2.431,2.705
8,46. el Turó de la Peira (3),n.d.  ,1.719,1.887,2.176,n.d.  
8,47. Can Peguera (3), , , , , 
8,48. la Guineueta,n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
8,49. Canyelles (4), , , , , 
8,50. les Roquetes (4),1.733,1.538,1.529,1.644,1.885
8,51. Verdun,n.d.  ,1.971,1.71,1.853,2.331
8,52. la Prosperitat,2.001,1.91,1.861,1.94,2.213
8,53. la Trinitat Nova,n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
8,54. Torre Baró (5), , , , , 
8,55. Ciutat Meridiana (5),1.426,1.281,1.212,1.313,1.498
8,56. Vallbona (5), , , , , 
9,57. la Trinitat Vella,1.612,1.557,1.394,1.438,1.776
9,58. Baró de Viver,n.d.  ,n.d.  ,n.d.  ,n.d.  ,n.d.  
9,59. el Bon Pastor,n.d.  ,1.879,n.d.  ,1.827,n.d.  
9,60. Sant Andreu,2.33,2.379,2.391,2.757,3.21
9,61. la Sagrera,2.423,2.218,2.498,2.696,3.296
9,62. el Congrés i els Indians,n.d.  ,n.d.  ,2.216,2.473,n.d.  
9,63. Navas,n.d.  ,2.362,2.401,2.72,3.029
10,64. el Camp de l'Arpa del Clot,2.482,2.602,2.619,3.159,3.561
10,65. el Clot,2.509,2.246,2.505,3.144,3.524
10,66. el Parc i la Llacuna del Poblenou,n.d.  ,2.779,2.956,3.761,4.076
10,67. la Vila Olímpica del Poblenou,n.d.  ,4.795,4.728,5.365,5.402
10,68. el Poblenou,3.446,3.304,3.606,4.223,4.324
10,69. Diagonal Mar i el Front Marítim del Poblenou,4.722,5.646,6.506,5.891,6.402
10,70. el Besòs i el Maresme,n.d.  ,2.002,1.951,2.222,2.786
10,71. Provençals del Poblenou,n.d.  ,3.069,3.397,3.31,3.194
10,72. Sant Martí de Provençals,n.d.  ,n.d.  ,2.273,2.547,2.759
10,73. la Verneda i la Pau,n.d.  ,1.983,2.023,2.281,2.443